"i","Age","FEV","Ht","Female","Male"
1,3,1.238,48.75,1,1
2,4,1.27588888888889,48.7777777777778,6,3
3,5,1.55228571428571,51.5357142857143,14,14
4,6,1.65797297297297,53.3108108108108,15,22
5,7,1.86944444444444,55.25,29,25
6,8,2.11530588235294,58.3058823529412,46,39
7,9,2.43732258064516,60.6397849462366,44,49
8,10,2.66565789473684,62.2697368421053,30,46
9,11,3.02906172839506,64.358024691358,39,42
10,12,3.24348,64.97,25,25
11,13,3.5265,66.4133333333333,14,16
12,14,3.63961111111111,67.6666666666667,6,12
13,15,3.92277777777778,67.5555555555556,3,6
14,16,3.74833333333333,68.5833333333333,3,3
15,17,4.64733333333333,69.25,1,5
16,18,3.26525,64.625,3,1
17,19,5.102,72,0,1
